班级,日期,索引顺序,问题,答案
Zoe41900,9.8,1,"数字；数",number
Zoe41900,9.8,2,"一百",hundred
Zoe41900,9.8,3,"千",thousand
Zoe41900,9.8,4,"总是；一直",always
Zoe41900,9.8,5,"决不；从不",never
Zoe41900,9.8,6,"有时",sometimes
Zoe41900,9.8,7,"一次",once
Zoe41900,9.8,8,"两次，两回",twice
Zoe41900,9.8,9,"差不多，几乎",almost
Zoe41900,9.8,10,"又；再一次",again
Zoe41900,9.8,11,"不",not
Zoe41900,9.8,12,"双倍的；双的",double
Zoe41900,9.8,13,"一半",half
Zoe41900,9.8,14,"角色；部分",part
Zoe41900,9.8,15,"两个的",both
Zoe41900,9.8,16,"两者",both
Zoe41900,9.8,17,"两者都",both
Zoe41900,9.8,18,"全部的",all
Zoe41900,9.8,19,"每个",each
Zoe41900,9.8,20,"每个的；每一的",each
Zoe41900,9.8,21,"接下来；然后；那时",then
Zoe41900,9.8,22,"不久，很快",soon
Zoe41900,9.8,23,"在…期间",during
Zoe41900,9.8,24,"以前",ago
Zoe41900,9.8,25,"在…之前",before